Direction,Price,m2,Floor,Room,Description
" Piso en C. de Evaristo San Miguel, 7, Argüelles, Madrid ",1.300€/mes,80 m²,Planta 2ª exterior con ascensor,1 ," Precioso piso con una ubicación muy conveniente y ventanas con vistas al patio. 2ª planta con ascensor. El piso recién renovado de 80m2 consta de: salón con sofá doble (140cm x 190cm), dormitorio doble, cocina espaciosa, totalmente equipada, cuarto de baño con ducha. El piso dispone de aire acondici "
" Piso en San Andrés, Malasaña-Universidad, Madrid ",2.150€/mes,75 m²,Planta 4ª exterior con ascensor,1 ," ""HMS Real Estate alquila piso de 1 DORMITORIO en Malasaña de 1 mes a 6 meses. TODOS LOS GASTOS INCLUIDOS. El inmueble es una 4ª planta y es exterior. Tiene ascensor la finca. Les podemos pasar fotos por mail o whatsapp. Salón amplio con cocina independiente completamente equipada y ase de cortesí "
" Piso en calle de la Madera, Malasaña-Universidad, Madrid ",2.700€/mes,61 m²,Planta 3ª interior con ascensor,2 ," DISPONIBLE ENERO 2024 Este moderno piso ha sido recientemente reformado, incorporando bonitos diseños, acabados de calidad y características modernas: mobiliario de acento negro, suelos de madera, electrodomésticos de alta calidad, etc. Está situado en el Barrio de Malasaña, Centro, próximo a much "
" Piso en calle de Juan de Mena, Jerónimos, Madrid ",1.725€/mes,55 m²,Planta 4ª interior con ascensor,2 ," ""HMS Real Estate alquila estupendo piso interior de 2 DORMITORIOS en la calle JUAN DE MENA junto al Retiro, el pulmón de Madrid, LA MEJOR ZONA DE MADRID, cerca de todos los servicios, super bien comunicado por autobuses HMS Real Estate NO cobra honorarios de agencia. Nuestra vivienda está en la 4 "
" Piso en Bellas Vistas, Madrid ",1.950€/mes,125 m², exterior con ascensor,3 , Amplio Piso en Avenida de la Reina Victoria Engel & Völkers presenta este luminoso y amplio piso ubicado en el Barrio de Ciudad Universitaria. Con vistas exteriores a la Av. de la Reina Victoria. Esta vivienda se ofrece Amueblado. Cuenta con un hall de entrada que da acceso a todas las áreas de la c 
" Estudio en Recoletos Salamanca, Recoletos, Madrid ",1.300€/mes,Planta 3ª exterior con ascensor,1 hora,35 m²," HMS Real Estate alquila estupendo ESTUDIO EXTERIOR, en recoletos, a dos minutos de la puerta del Alcalá y del Retiro, el pulmón de Madrid, LA MEJOR ZONA DE MADRID, cerca de todos los servicios, super bien comunicado por metro y por autobús Nuestra vivienda está en la 3ª planta. Tiene ascensor. La "
" Piso en calle de Nanclares de Oca, Rejas, Madrid ",1.450€/mes,200 m²,Bajo exterior con ascensor,2 ," “JOWNER ALQUILA FANTÁSTICO PISO CON TERRAZA EN REJAS"" Se trata de una vivienda con terraza, jardín, piscina, de excelentes calidades, cuenta con 2 dormitorios y 2 baños. El salón tiene una gran puerta de acceso al porche/patio privado de la vivienda que a su vez da al jardín de la finca. Las dos ha "
" Piso en calle de Bravo Murillo, Vallehermoso, Madrid ",1.500€/mes,55 m²,Planta 4ª interior con ascensor,2 ," Inmobiliaria Emmanuel El piso está disponible a partir del 1 noviembre. Alquiler de piso reformado, con materiales de alta calidad. Calefacción por suelo radiante, también refrescante. El piso está en plena calle Bravo Murillo, con metro en la puerta con varias líneas de metro. Dispone de amplio "
" Ático en calle de Herminio Puertas, 74, Puerta del Ángel, Madrid ",1.000€/mes,85 m²,Planta 2ª exterior con ascensor,2 ,
" Piso en calle de Núñez de Balboa, Recoletos, Madrid ",3.400€/mes,145 m²,Planta 3ª exterior con ascensor,3 ," 3 Hab - 2 Baños - exterior - Recoletos - Garaje !!   S C A L A | Properties presenta vivienda de 3 habitaciones en Recoletos. Vivienda de 3 habitaciones y 145 m² construidos, ubicada en la tercera planta de una finca familiar de 1994. Entrando a la vivienda nos encontramos con el recibidor donde tenemos armarios de gran capacidad. En la zona de día "
" Piso en Londres, 41, Guindalera, Madrid ",1.000€/mes,55 m²,Bajo exterior con ascensor,1 ," Estupendo Apartamento en planta baja en alquiler en la Calle Londres nº 41 de Madrid. Se trata de una planta baja (salón, cocina americana, dormitorio independiente y baño completo). Dispone de Trastero. Posibilidad de alquilar plaza de garaje en el mismo edificio por 85€/mes. No se admiten mascotas "
" Ático en Carrera de San Jerónimo, Sol, Madrid ",3.900€/mes,96 m²,Planta 5ª exterior con ascensor,2 ," S C A L A  |  Properties presenta vivienda de 2 habitaciones a estrenar con terraza en Carrera de San Jerónimo. Ático con terraza de 2 habitaciones,  y 90 m² construidos, ubicada en la cuarta planta de una finca de nueva construcción en 2023. Calidad, modernidad, funcionalidad, frescura y confort "
" Piso en infante fernando, 6, Sanchinarro, Madrid ",1.400€/mes,140 m²,Planta 6ª exterior con ascensor,2 ,
" Piso en calle del Conde de Xiquena, Chueca-Justicia, Madrid ",5.495€/mes,233 m²,Planta 4ª exterior con ascensor,2 ," MARAVILLOSO Y LUMINOSO APARTAMENRO DE 2 HABITACIONES CERCA DE COLÓN   DISPONIBLE PARA ENTRADAS A PARTIR DEL 15 DE NOVIEMBRE DE 2023 Estancia corta (1-4 meses) 5.495€/mes**Suministros incluidos en la estancia corta En el maravilloso Barrio de Justicia, una de las zonas con más encanto de Madrid, situado en la 4ª planta de en un edificio de fachada clásica, encontramo "
" Piso en calle del Cardenal Silíceo, Prosperidad, Madrid ",1.390€/mes,89 m²,Planta 5ª exterior con ascensor,3 ," Sacamos en alquiler precioso piso recién pintado y actualizado en una de las mejores zonas de Madrid. Consta de cocina muy luminosa, totalmente equipada. Gran salón con espacio para varios ambientes y acceso a cómoda terraza, con vistas despejadas. Tres dormitorios, dos de ellos muy grandes con arma "
" Piso en paseo de Santa María de la Cabeza, Palos de Moguer, Madrid ",2.700€/mes,111 m²,Planta 1ª exterior con ascensor,3 ," Piso Reformado con Patio Privativo en el Centro de Madrid Este espectacular piso, completamente reformado y amueblado a estrenar, se encuentra en una ubicación inmejorable: el Paseo de Santa María de la Cabeza, a solo 10 minutos a pie de la Estación de Atocha y el Museo Reina Sofía, en pleno corazó "
" Ático en avenida de los Arces, Palomas, Madrid ",2.500€/mes,126 m²,Planta 5ª exterior con ascensor,3 ," Ático precioso con dos grandes terrazas de 45 + 85 m2, (Barbacoa) y plato de ducha), la vivienda consta de 115 m2, salón comedor con salida a terrazas, 3 dormitorios + 2 baños completos, cocina completa con electrodomésticos. La vivienda está en perfecto estado. Urbanización con todos los servicios "
" Ático en calle del Olvido, Almendrales, Madrid ",1.650€/mes,70 m²,Planta 2ª exterior sin ascensor,3 ," Alquiler por temporadas ""VIVIENDA A ESTRENAR"" SE ENCUENTRA SIN MUEBLES CON LA COCINA EQUIPADA en un entorno confortable. -Alquiler (TEMPORAL). -Mascota: No. -Para visitas presenciales, preguntar por Emiliano Correa al 602_250_283 en el caso de no poder atenderte (También se atiende mensaje por Wh "
" Piso en argensola, 7, Chueca-Justicia, Madrid ",1.800€/mes,65 m²,Planta 4ª exterior con ascensor,1 ," Piso en una cuarta planta totalmente exterior y muy luminoso. Se distribuye en la zona de recibidor, dormitorio de esquina con dos balcones a la calle Uno a la calle Argensola y el otro a la calle Santa Teresa, baño con bañera exterior, cocina equipada exterior y salon con dos balcones a la calle Sa "
" Piso en calle de Bolivia, Bernabéu-Hispanoamérica, Madrid ",1.550€/mes,122 m²,Bajo interior con ascensor,2 ," Servicheck alquila FABULOSO PISO EN LA MEJOR ZONA DE MADRID Para visitar contactar con Marcelo Sacolle +34_602_251_042, también se atiende por WhatsApp. Para visitas digitales pinchar en el icono 3D. Vivienda única y especial en calle Bolivia en el exclusivo barrio de Bernabeu Hispanoamérica. I "
" Estudio en calle de Valentín Beato, 8, Simancas, Madrid ",760€/mes,Planta 1ª interior sin ascensor,13 minutos,50 m²," Calle Valentín Beato esquina calle Alcalá 506 Junto al metro de SUANZES Estupendo loft a 2 minutos del metro Leer el anuncio hasta el final Primera planta Recién REFORMADO A estrenar Salón con cocina americana zona habitación con cama de 1,50x 1,90 Terraza de 20 metros con toldos. Aire acondicionado "
" Piso en calle de Ayala, Goya, Madrid ",3.800€/mes,111 m²,Planta 3ª exterior con ascensor,2 ," Vivienda de lujo a estrenar para alquilar por temporadas completamente amueblada, se puede alquilar a partir de dos meses y maximo de 11 meses. Dos dormitorios en suite, dos terracitas, salón-comedor con cocina integrada y baño de cortesia. La vivienda da a un silenciosos jardín que inunda de luz el "
" Piso en calle de la Madera, Malasaña-Universidad, Madrid ",2.550€/mes,79 m²,Planta 2ª exterior con ascensor,1 ," Disponible 21 Diciembre Se aceptan alquileres mensuales. Este moderno piso ha sido recientemente reformado, incorporando bonitos diseños, acabados de calidad y características modernas: mobiliario de acento negro, suelos de madera, electrodomésticos de alta calidad, etc. Está situado en el Barrio "
" Piso en calle de Núñez de Balboa, Recoletos, Madrid ",3.868€/mes,133 m²,Planta 5ª exterior con ascensor,3 ," Servicheck Alquila Piso en Madrid! Disponible el 4 de junio Gastos incluidos en el precio para tres personas. Alquiler por temporada mínimo 6 meses, máximo 11 Para mas información y visitas contactar con Diana Trujillo al 692_904_114 (También se atiende por WhatsApp) Se alquila piso de 107 Mts "
" Piso en calle de Vallehermoso, 80, Arapiles, Madrid ",800€/mes,36 m²,Planta 5ª interior con ascensor,1 ," Calle Vallehermoso 80, apartamento en alquiler, 5ª planta a patio de manzana del Parque Móvil. Dormitorio independiente con armario empotrado y ventana a patio. Salón muy tranquilo con mucha luz por su amplia ventana que da al Parque Móvil. Orientación Este. Cocina independiente, equipada con pl "
" Dúplex en calle San Martín de Porres, Ciudad Universitaria, Madrid ",1.250€/mes,50 m²,Bajo exterior sin ascensor,1 ," SERVICHECK ALQUILA PRECIOSO PISO EN CIUDAD UNIVERSITARIA Estancia temporal mínimo 6 meses, máximo 11. Para visitas y más información contactar con Ronaldo Lozano al 602_251_040 (también WhatsApp). Se alquila hermoso piso de 50 Mts distribuido así: 1 Dormitorio Baño completo Salón - comedor Cocin "
" Dúplex en calle Manuel Pombo Angulo, Sanchinarro, Madrid ",1.100€/mes,67 m²,Planta 2ª exterior con ascensor,1 ," URBAN MAGERIT SANCHINARRO alquila magnifico lotf en Sanchinarro junto al Encinar de los Reyes y la Moraleja, se trata de una segunda planta, muy luminoso por sus grandes ventanales y con una superficie de 67 metros. Disponible a partir del 1 de noviembre. Inmueble con la cocina totalmente equipad "
" Piso en calle de Mauricio Legendre, Castilla, Madrid ",2.948€/mes,117 m²,Planta 8ª exterior con ascensor,3 ," Servicheck Alquila Piso Temporal en Madrid! Disponible desde el 4 de junio! Para mayor información y visitas contactar con Diana Trujillo al 692_904_114 (también se atiende por WhatsApp) Solo temporales, mínimo de 5 meses, máximo de 11 - Valor con todo incluido para 3 personas! Se alquila hermos "
" Piso en calle Carranque, 14, Pau de Carabanchel, Madrid ",985€/mes,78 m²,Planta 3ª exterior con ascensor,2 ," Si buscas un piso en perfecto estado, amueblado y listo para entrar a vivir, igual esto te interesa. Busco estudiantes o trabajadores que quieran compartir piso. Sin mascotas. Si quieres vivir en Madrid y tener un parque a la puerta de casa donde puedas pasear o hacer deporte, además de restaura "
" Piso en calle del Cerro del Monte, 1, El Cañaveral, Madrid ",947€/mes,95 m²,Bajo exterior con ascensor,2 ," DESTINADA A PERSONAS CON DISCAPACIDAD IGUAL O SUPERIOR AL 33%. ACREDITAR.   VIVIENDA DESTINADA A PERSONAS CON DISCAPACIDAD IGUAL O SUPERIOR AL 33%. DEBERAN ACREDITAR MEDIANTE CERTIFICADO O CARNET. Y AHORA ALQUILANDO CON NESTAR, LLÉVATE UN 5% DE DESCUENTO EN IKEA EN EL AMUEBLAMIENTO DE TU NUEVA CASA. Promoción válida para compra superiores a 80€ no incluidos servicios. Te "
