,Unnamed: 0,Direction,Price,m2,Floor,Room,Description
0,0.0," Piso en calle de Mayorazgo de Duarte, 23, El Cañaveral, Madrid ",1.200€/mes,113 m²,Planta 5ª exterior con ascensor,3 ," Alquilo vivienda sin amueblar de 113 m2, construida en 2022, en urbanización en primera línea del parque central de El Cañaveral. 5ª planta muy luminosa (orientación sur): - 3 dormitorios (el principal tiene vestidor y baño en suite con ventana al exterior) - 5 armarios empotrados en todas las habit "
1,1.0," Piso en Abrantes, Madrid ",950€/mes,57 m²,Planta 2ª exterior sin ascensor,3 ," Para información y visitas contactar con Esther 602_250_276 y Johana 602_250_264. Para una mayor experiencia virtual, visita el 3D. ¡No pierdas la oportunidad de alquilar esta increíble vivienda recién reformada en la zona de Carabanchel! Con 57 m2, esta vivienda exterior se encuentra en la 2ª pla "
2,2.0," Piso en Berruguete, Madrid ",1.000€/mes,62 m²,Planta 3ª exterior con ascensor,1 ," ENTRADA A PARTIR DE DICIEMBRE 1 DE 2023. TRATO DIRECTO PROPIETARIO. SIN COMISION AGENCIA. Estupendo piso con buena iluminación, céntrico en la calle Villaamil y muy cómodo. Ideal para parejas o persona sola. Cuenta con 1 amplia habitación con cama matrimonial, armario empotrado y vistas; cocina to "
3,3.0," Piso en calle del Duque de Rivas, Lavapiés-Embajadores, Madrid ",2.000€/mes,90 m²,Planta 1ª exterior con ascensor,2 ," Este piso se encuentra en Calle del Duque de Rivas, 28012, Madrid, Madrid, situado en el distrito de Austrias, en la planta 1. Es un piso que tiene 90 m2 y dispone de 2 habitaciones y 2 baños. Se trata de un inmueble bohemio. Dispone de armarios empotrados, singular, ascensor, alto standing, exteri "
4,4.0," Piso en calle del Príncipe de Vergara, Recoletos, Madrid ",1.500€/mes,50 m²,Planta 2ª interior con ascensor,1 ," Presentamos este luminoso piso, recien reformado a estrenar, excelentemente ubicado en el barrio de Recoletos, a pocos pasos de el parque El Retiro y muy cerca de la Puerta de Alcalá. Desde la ventana del salon podemos contemplar la luz y las vistas de los cielos de Madrid. Al entrar por el pasill "
5,5.0," Piso en calle del Balcón de Corralejos, 8, Campo de las Naciones-Corralejos, Madrid ",1.310€/mes,103 m²,Planta 3ª exterior con ascensor,2 , ¡SIN COMISION DE AGENCIA! Urbanización privada. Contacta con Sofía Ordoz 691_218_676 Situado en la zona del Campo de las Naciones-Corralejos. Es un inmueble luminoso que tiene 115 m2 de vivienda más elementos comunes. Todo independiente y exterior. Consta de 2 dormitorios todos tienen armarios e 
6,6.0," Piso en Cuzco-Castillejos, Madrid ",1.300€/mes,60 m²,Planta 8ª exterior con ascensor,1 ," CONTRATO DE TEMPORADA. Exclusiva vivienda con reforma reciente y amueblada a estrenar en Eurobuilding II en la calle orense, a dos minutos caminando del paseo de la castellana. apartamento de aproximadamente setenta metros cuadrados construidos con terraza amplia. exterior en orientación este, sol d "
7,7.0," Piso en calle de Orense, Cuatro Caminos, Madrid ",2.800€/mes,140 m²,Planta 2ª exterior con ascensor,3 ," Reformado - 3 Hab - 2 Baños - Exterior !!   S C A L A | Properties presenta esta vivienda de 3 dormitorios en Tetuán. DISPONIBILIDAD DESDE 1 DE OCTUBRE. VIVIENDA EXTERIOR CON TERRAZA. AIRE ACONDICIONADO EN TODAS LAS ESTANCIAS. Según accedemos a la vivienda nos encontramos la zona de salón-comedor, integrada con la cocina por medio de una barr "
8,8.0," Piso en Delicias, Madrid ",1.350€/mes,64 m², exterior sin ascensor,1 ," Vivienda 2 alquila piso a estrenar de dos plantas, en planta baja cuenta con salón, comedor y cocina totalmente equipada y en la primera planta con el dormitorio y baño en suite. La cocina está completamente equipada con todos los electrodomésticos, incluidos lavadora, lavavajillas, frigorífico y m "
9,9.0," Piso en calle de Sinesio Delgado, La Paz, Madrid ",1.500€/mes,115 m²,Planta 6ª exterior con ascensor,3 ," ¡YA DISPONIBLE! Piso todo exterior con vistas espectaculares de las Cuatro Torres. Tiene 115 m2 distribuidos en tres dormitorios, 2 baños completos con plato de ducha y tina, cocina independiente equipada y con terraza, salón comedor con otra terraza. Se alquila amueblado. Calefacción central. La "
