,Direction,Price,m2,Floor,Room,Description
0,"
Piso en calle del Balandro, Alameda de Osuna, Madrid
",1.195€/mes,107 m²,Planta 3ª exterior con ascensor,3 hab.,"
Magnifico piso en Alameda de Osuna, junto a todo tipo de servicios y comercios, dispone de 3 amplias habitaciones con armarios empotrados y de un baño y un aseo. Amplio y luminoso comedor con acceso a terraza y cocina totalmente equipada con acceso a una segunda terraza cerrada.
Animales a consultar
"
1,"
Piso en calle de Claudio Coello, Castellana, Madrid
",10.000€/mes,400 m²,Planta 7ª exterior con ascensor,4 hab.,"
Se alquila sin muebles!
Ya esta disponible para enseñar!
Descripción: (NO PODEMOS PUBLICAR FOTOS POR DESEO EXPRESO DE LA PROPIEDAD. ADJUNTAMOS RENDERS E IMÁGENES ORIENTATIVAS)
Los renders pueden ser usados para mas de una publicación: NO SON EXCLUSIVOS DE UNA VIVIENDA.
Consulting Inmobiliario Esqui
"
2,"
Ático en calle de Serrano Jover, Malasaña-Universidad, Madrid
",2.500€/mes,160 m²,Planta 6ª exterior con ascensor,3 hab.,"
EN ALQUILER BONITO ÁTICO EN LA CALLE SERRANO JOVER.
El piso es muy luminoso y tranquilo ya que disfruta de una amplia terraza.
El piso se distribuye en un amplio recibidor, salón comedor desde al que se accede a la terraza, tres habitaciones, la principal cuenta con vestidor y balcón, baño compl
"
3,"
Piso en Argüelles, Madrid
",2.400€/mes,151 m²,Planta 1ª exterior con ascensor,4 hab.,"
Luminoso y amplio piso en Argüelles en alquiler
Posibilidad de amueblar parcialmente según necesidades del inquilino, para largas estancias. Engel & Völkers presenta esta encantadora propiedad de excelentes calidades, ubicada en una de las mejores zonas de Madrid, como es el elegante Barrio de Argüe
"
4,"
Estudio en calle de Preciados, 34, Sol, Madrid
",1.100€/mes,Planta 2ª con ascensor,5 horas,48 m²,
5,"
Piso en avenida de Valdemarín, Valdemarín, Madrid
",2.750€/mes,180 m², exterior con ascensor,4 hab.,"
Fantástico bajo con terraza en Valdemarin
Engel & Völkers presenta en alquiler disponible inmediatamente totalmente pintado y vacío este espectacular bajo de 4 habitaciones en el corazón de Valdemarin-Aravaca. La vivienda cuenta con 180m2 + 150 de terraza cómodamente distribuidos en hall de entrada,
"
6,"
Estudio en Almagro, Madrid
",1.300€/mes,Planta 5ª con ascensor,5 horas,50 m²,"
¡Tenemos una oportunidad única para ustedes! Se alquila un hermoso estudio amueblado en el centro de Sol, en la calle Apreciados. Con una ubicación inmejorable y con 45m2 de espacio, este estudio totalmente equipado y amueblado con un excelente gusto es perfecto para ti. ¡No esperes más, reserva aho
"
7,"
Dúplex en San Juan Bautista, Madrid
",4.100€/mes,247 m²,Planta 4ª exterior con ascensor,4 hab.,"
EXCELENTE PISO REFORMADO ALTAS CALIDADES


Colomba Boutique Inmobiliaria, alquila, piso DUPLEX CON REFORMA INTEGRAL A ESTRENAR.
La vivienda es muy luminosa y todas las estancias son exteriores, salvo un baño y el aseo de cortesía. La distribución es la siguiente:
- PLANTA INFERIOR: vestíbulo-distribuidor desde el que se accede al amplio s
"
8,"
Piso en plaza de la Cebada, Palacio, Madrid
",875€/mes,50 m²,Planta 4ª exterior sin ascensor,1 hab.,"
Vive en el Corazón de La Latina: Un Piso con Encanto en Edificio Protegido
Si buscas una vivienda única en el corazón de La Latina, ¡has encontrado el lugar perfecto! Este piso en un edificio protegido es una joya que combina historia y comodidad moderna.
Características destacadas:
•Ubicación inmej
"
9,"
Piso en Conde Orgaz-Piovera, Madrid
",2.500€/mes,100 m²,Planta 4ª exterior con ascensor,3 hab.,"
Colomba Boutique Inmobiliaria, alquila EN EXCLUISIVA, piso amueblado con mucho encanto, vistas maravillosas vistas y altas calidades.
Urbanización construida en 2008, con altas calidades, y todos los servicios: piscina de 25m, pádel, gimnasio, sauna, jardines, zona de juegos para niños, ping-pong,
"
10,"
Piso en calle de Puente la Reina, Las Tablas, Madrid
",1.195€/mes,70 m²,Planta 1ª exterior con ascensor,2 hab.,"
Estupendo piso recién pintado de 70 m2, distribuidos en: hall de entrada, amplio salón-comedor con ventilador de techo, cocina amueblada y equipada con acceso a terraza tendedero, 2 habitaciones, y 2 baños completos, uno de ellos en suite. Armarios empotrados y vestidos, suelos de terrazo, ventanas
"
11,"
Chalet pareado en Conde Orgaz-Piovera, Madrid
",4.800€/mes,448 m²,,5 hab.,"
Colomba Boutique Inmobiliaria alquila, Chalet no amueblado de alto standing, muy luminoso y soleado con 5 habitaciones y 5 baños.
Distribución:
Planta calle: Amplio hall de entrada con armario gabanero, aseo, salón con chimenea y comedor.
Cocina totalmente equipada, con office. Espacio para una m
"
12,"
Piso en calle de San Andrés, Malasaña-Universidad, Madrid
",850€/mes,46 m²,Planta 1ª interior sin ascensor,1 hab.,"
Malasaña Universidad. Magnífica ubicación en Plaza dos de mayo. Edificio tipo corrala bien cuidada y rehabilitada.  Vivienda interior con ventanas orientadas a patio y a corrala en una primera planta sin ascensor. Recién pintada. Dormitorio independiente con somier de cama de matrimonio (sin colchón
"
13,"
Piso en Nuevos Ministerios-Ríos Rosas, Madrid
",2.800€/mes,157 m²,Planta 5ª exterior con ascensor,3 hab.,"
Piso de 3 dormitorios y 2 baños
Engel & Völkers presenta esta acogedora vivienda NO AMUEBLADA ubicada en el edificio Géminis I. Se trata de un piso exterior, que se distribuye en salón-comedor, cocina, 3 dormitorios y 2 baños. El hall de entrada da por un lado paso al amplio salón-comedor, y por otr
"
14,"
Piso en paseo de Extremadura, Puerta del Ángel, Madrid
",1.350€/mes,79 m²,Bajo exterior sin ascensor,3 hab.,"
3 Dormitorios, sin amueblar. Recién reformado a estrenar. Realmente luminoso. Doble orientación sur/norte, exterior y a jardín. Zonas comunes espectacularmente amplias. Mismo Paseo de Extremadura entre Metro Puerta del Ángel y Alto de Extremadura (L6).
*SIN COMISIÓN de agencia. Alquiler solo para
"
15,"
Piso en calle Alcalá, 84, Goya, Madrid
",5.800€/mes,120 m²,Planta 1ª exterior con ascensor,3 hab.,"
""Alquiler por meses"" ""No se cobra comisión de Agencia"" ""Suministros incluidos""
Espectacular apartamento de 3 habitaciones en el barrio de Salamanca, al lado del Parque del Retiro. Decoración original, contemporánea, mobiliario combinando estilo y confort. Está decorado en tonos neutros con toques de
"
16,"
Piso en Pacífico, Madrid
",1.500€/mes,90 m²,Planta 1ª exterior con ascensor,3 hab.,"
CONTRATO DE TEMPORADA. Vivienda2 alquila estupendo piso de tres dormitorios y dos baños, ideal para estudiantes o profesionales para compartir, en el barrio de Retiro, en la representativa Avenida Ciudad de Barcelona, a cinco minutos de Atocha. Nos encontramos con una primera planta, pero con mucha
"
17,"
Piso en calle de Víctor Hugo, Chueca-Justicia, Madrid
",3.345€/mes,174 m²,Planta 2ª exterior con ascensor,2 hab.,"
Espectacular apartamento exterior de 2 dormitorios, en el Centro Histórico de Madrid


DISPONIBLE PARA ENTRADAS INMEDIATAS
** Precio variable:
Larga estancia (+ 9 meses) 3.345€/mes = 3.040, 90€ + 10% IVA
Media estancia (4-9 meses) 3.745€/mes = 3.404, 54€ + 10% IVA
Corta estancia (1-4 meses) 4.245€/mes = 3.859, 09€ + 10% IVA** Suministros incluidos en corta estancia
En el centro hist
"
18,"
Ático en Minerva, 41, Valdebernardo - Valderrivas, Madrid
",1.100€/mes,105 m²,Planta 5ª exterior con ascensor,2 hab.,"
Se alquila ático completamente amueblado para entrar a vivir. Muy iluminado, terraza con amplias vistas y sin interferencia de otros edificios.
El salón y los 2 dormitorios tienen salida directa a la terraza.
2 dormitorios con grandes armarios empotrados de madera.
2 baños completos, uno de ellos
"
19,"
Piso en calle de Martínez, Berruguete, Madrid
",1.550€/mes,43 m²,Planta 1ª exterior con ascensor,1 hab.,"
Servicheck Alquila Piso por Temporada en Madrid!
Disponible a partir del 30 de Abril 2023!
Para mas información y visitas contactar con Diana Trujillo al 692_904_114 (También se atiende por WhatsApp)
Vivienda destinada a alquiler por temporada. Especialmente pensada para empresas o profesionales.
"
20,"
Piso en calle de Fuencarral, 73, Malasaña-Universidad, Madrid
",1.950€/mes,80 m²,Planta 3ª exterior con ascensor,2 hab.,"
Sin comisión de Agencia, las mejores vistas diáfanas y la mejor ubicación en el centro de Madrid. Totalmente exterior 4 balcones con vistas de amanecer a la calle Fuencarral, San Mateo, y San Joaquin. Reformada y amueblada, pintada con pintura ecológica Bruger color arena suave (para personas alérgi
"
