Direction,Price,m2,Floor,Room,Description
"
Piso en calle de Mayorazgo de Duarte, 23, El Cañaveral, Madrid
",1.200€/mes,113 m²,Planta 5ª exterior con ascensor,3 hab.,"
Alquilo vivienda sin amueblar de 113 m2, construida en 2022, en urbanización en primera línea del parque central de El Cañaveral. 5ª planta muy luminosa (orientación sur):
- 3 dormitorios (el principal tiene vestidor y baño en suite con ventana al exterior)
- 5 armarios empotrados en todas las habit
"
"
Piso en Abrantes, Madrid
",950€/mes,57 m²,Planta 2ª exterior sin ascensor,3 hab.,"
Para información y visitas contactar con Esther 602_250_276 y Johana 602_250_264.
Para una mayor experiencia virtual, visita el 3D.
¡No pierdas la oportunidad de alquilar esta increíble vivienda recién reformada en la zona de Carabanchel! Con 57 m2, esta vivienda exterior se encuentra en la 2ª pla
"
"
Piso en Berruguete, Madrid
",1.000€/mes,62 m²,Planta 3ª exterior con ascensor,1 hab.,"
ENTRADA A PARTIR DE DICIEMBRE 1 DE 2023. TRATO DIRECTO PROPIETARIO. SIN COMISION AGENCIA.
Estupendo piso con buena iluminación, céntrico en la calle Villaamil y muy cómodo. Ideal para parejas o persona sola.
Cuenta con 1 amplia habitación con cama matrimonial, armario empotrado y vistas; cocina to
"
"
Piso en calle del Duque de Rivas, Lavapiés-Embajadores, Madrid
",2.000€/mes,90 m²,Planta 1ª exterior con ascensor,2 hab.,"
Este piso se encuentra en Calle del Duque de Rivas, 28012, Madrid, Madrid, situado en el distrito de Austrias, en la planta 1. Es un piso que tiene 90 m2 y dispone de 2 habitaciones y 2 baños.
Se trata de un inmueble bohemio. Dispone de armarios empotrados, singular, ascensor, alto standing, exteri
"
"
Piso en calle del Príncipe de Vergara, Recoletos, Madrid
",1.500€/mes,50 m²,Planta 2ª interior con ascensor,1 hab.,"
Presentamos este luminoso piso, recien reformado a estrenar, excelentemente ubicado en el barrio de Recoletos, a pocos pasos de el parque El Retiro y muy cerca de la Puerta de Alcalá.
Desde la ventana del salon podemos contemplar la luz y las vistas de los cielos de Madrid.
Al entrar por el pasill
"
"
Piso en calle del Balcón de Corralejos, 8, Campo de las Naciones-Corralejos, Madrid
",1.310€/mes,103 m²,Planta 3ª exterior con ascensor,2 hab.,"
¡SIN COMISION DE AGENCIA!
Urbanización privada. Contacta con Sofía Ordoz 691_218_676
Situado en la zona del Campo de las Naciones-Corralejos.
Es un inmueble luminoso que tiene 115 m2 de vivienda más elementos comunes.
Todo independiente y exterior.
Consta de 2 dormitorios todos tienen armarios e
"
"
Piso en Cuzco-Castillejos, Madrid
",1.300€/mes,60 m²,Planta 8ª exterior con ascensor,1 hab.,"
CONTRATO DE TEMPORADA. Exclusiva vivienda con reforma reciente y amueblada a estrenar en Eurobuilding II en la calle orense, a dos minutos caminando del paseo de la castellana. apartamento de aproximadamente setenta metros cuadrados construidos con terraza amplia. exterior en orientación este, sol d
"
"
Piso en calle de Orense, Cuatro Caminos, Madrid
",2.800€/mes,140 m²,Planta 2ª exterior con ascensor,3 hab.,"
Reformado - 3 Hab - 2 Baños - Exterior !!


S C A L A | Properties presenta esta vivienda de 3 dormitorios en Tetuán.
DISPONIBILIDAD DESDE 1 DE OCTUBRE.
VIVIENDA EXTERIOR CON TERRAZA. AIRE ACONDICIONADO EN TODAS LAS ESTANCIAS.
Según accedemos a la vivienda nos encontramos la zona de salón-comedor, integrada con la cocina por medio de una barr
"
"
Piso en Delicias, Madrid
",1.350€/mes,64 m², exterior sin ascensor,1 hab.,"
Vivienda 2 alquila piso a estrenar de dos plantas, en planta baja cuenta con salón, comedor y cocina totalmente equipada y en la primera planta con el dormitorio y baño en suite.
La cocina está completamente equipada con todos los electrodomésticos, incluidos lavadora, lavavajillas, frigorífico y m
"
"
Piso en calle de Sinesio Delgado, La Paz, Madrid
",1.500€/mes,115 m²,Planta 6ª exterior con ascensor,3 hab.,"
¡YA DISPONIBLE! Piso todo exterior con vistas espectaculares de las Cuatro Torres.
Tiene 115 m2 distribuidos en tres dormitorios, 2 baños completos con plato de ducha y tina, cocina independiente equipada y con terraza, salón comedor con otra terraza.
Se alquila amueblado. Calefacción central.
La
"
"
Piso en avenida de la Gran Vía del Sureste, 33, Ensanche de Vallecas - La Gavia, Madrid
",910€/mes,85 m²,Planta 2ª exterior con ascensor,2 hab.,"
LLAMAR SOLO TARDES DE 17 h. a 20 h.
Alquilo piso muy luminoso (orientación sureste) como nuevo y amueblado con muebles de primera calidad, Ensanche de Vallecas, metro Valdecarros, Avenida Gran Vía del Sureste, 2 habitaciones, plaza de garaje, urbanización cerrada, portero físico, zonas comunes, jard
"
"
Dúplex en Canillas, Madrid
",3.200€/mes,168 m², exterior con ascensor,5 hab.,"
Excelente piso en Santo Ángel
Engel & Völkers, pone a su disposición este excelente inmueble, Ático Dúplex, listo para disfrutar. Un bellísimo, amplio e iluminado apartamento, con 3 terrazas, con doble orientación y vistas esplendidas. Ubicado dentro de un excelente conjunto residencial, acompañado
"
"
Ático en calle de San Dimas, 17, Malasaña-Universidad, Madrid
",2.700€/mes,105 m²,Planta 4ª exterior con ascensor,3 hab.,"
No dejes de ver el video, además de las fotos.. .
Bienvenido al paraíso urbano de Malasaña. Este ático dúplex de dos dormitorios, con una tercera habitación abuhardillada, es una joya en medio de la vibrante vida de este emblemático barrio madrileño. Desde el momento en que pongas un pie en este lu
"
"
Piso en Salvador, Madrid
",4.375€/mes,250 m²,Planta 6ª exterior con ascensor,5 hab.,"
Prime Marbs Conde Orgaz-Piovera presenta esta exclusiva vivienda estilo Loft New York en un edificio industrial que recibió un premio arquitectónico por su rampa central de acceso directo en coche a cada piso. Experimenta el lujo, la comodidad y la seguridad en esta espectacular y EXCLUSIVA vivienda
"
"
Piso en calle Tomás López, 12, Goya, Madrid
",1.600€/mes,80 m²,Planta 2ª exterior con ascensor,1 hab.,"
Luminoso apartamento en excelente ubicación. Edificio moderno. Amueblado a estrenar y con aire acondicionado. Amplio salón con chaise lounge, y zona de comedor. Cocina independiente, amueblada y completamente equipada con electrodomésticos (nevera, microondas, lavavajillas, lavadora, horno, placa y
"
"
Piso en paseo de Extremadura, 214, Lucero, Madrid
",1.200€/mes,100 m²,Planta 2ª exterior sin ascensor,4 hab.,"
Alquila Mejor ofrece vivienda en alquiler de 100 metros cuadrados y está compuesta por 4 dormitorios y 1 baño.
La vivienda se entrega semi-amueblada, su distribución parte del hall de entrada dando acceso a la cocina, el primer dormitorio y al salón. Cocina amueblada y equipada, el salón es de paso
"
"
Piso en calle de Máiquez, 11, Ibiza, Madrid
",1.200€/mes,50 m²,Planta 2ª exterior con ascensor,1 hab.,"
Apartamento totalmente exterior seminuevo en edificio con 6 años de antigüedad. Cuenta con una habitación, baño, salón comedor, cocina amueblada con lavadora, lavavajillas y frigorífico grande.
Calefacción individual de gas, aire acondicionado y bomba de calor.
El apartamento tiene una excelente ubi
"
"
Piso en calle de Cochabamba, Bernabéu-Hispanoamérica, Madrid
",2.100€/mes,110 m²,Planta 2ª exterior con ascensor,3 hab.,"
Alquila mejor pone a su disposición magnifico 3er piso exterior de 110 m2 y 3 dormitorios en uno de los mejores barrios de Madrid.
Se encuentra en una las mejores zonas de Chamartin (Bernanbéu-Hispanoamérica), con una distribución muy aprovechada y rodeado de absolutamente todo lo que puedas necesi
"
"
Piso en calle del Doctor Cirajas, 18, Pueblo Nuevo, Madrid
",1.100€/mes,60 m²,Planta 1ª exterior con ascensor,2 hab.,"
Se alquila piso muy luminoso en Ciudad Lineal-Madrid: 60 m2, dos habitaciones, salón, baño, cocina y pequeña terraza- tendedero. Completamente amueblado, suelo de parquet, aire acondicionado, calefacción individual de Gas Natural, lavadora, nevera, lavavajillas, microondas, sofás, camas, armarios, m
"
"
Piso en calle del Marqués de Monteagudo, Guindalera, Madrid
",1.100€/mes,60 m²,Planta 1ª exterior con ascensor,1 hab.,"
¡SERVICHECK ALQUILA! Marcos Enríquez
Estupendo piso completamente amueblado y muy bien comunicado junto a la plaza de toros de Las Ventas.
Consta de una habitación doble con cama de matrimonio y salida a terraza, pasillo con gran armario empotrado, baño completo con plato de ducha, cocina completa
"
"
Piso en calle del Doctor Cirajas, 18, Pueblo Nuevo, Madrid
",1.100€/mes,60 m²,Planta 1ª exterior con ascensor,2 hab.,"
Se alquila piso muy luminoso en Ciudad Lineal-Madrid: 60 m2, dos habitaciones, salón, baño, cocina y pequeña terraza- tendedero. Completamente amueblado, suelo de parquet, aire acondicionado, calefacción individual de Gas Natural, lavadora, nevera, lavavajillas, microondas, sofás, camas, armarios, m
"
"
Estudio en calle Cerro del Murmullo, Ensanche de Vallecas - La Gavia, Madrid
",700€/mes,Bajo exterior sin ascensor,,47 m²,"
¡SE ALQUILA LOFT!
SE ENCUENTRA SIN AMUEBLAR CON LA COCINA EQUIPADA en un entorno tranquilo, confortable a pocos minutos del metro Valdecarros.
DISPONIBILIDAD INMEDIATA.
Mejor ver.
-Alquiler larga estancia (no temporal).
-Mascota: No.
-No estudiantes.
-Garaje no disponible.
-Para visitas presenc
"
"
Piso en pasaje de Valle de Oro, Opañel, Madrid
",800€/mes,62 m²,Planta 4ª exterior sin ascensor,2 hab.,"
Vivienda de 62m² recién pintada.
Consta de 2 dormitorios, salón comedor con acceso a terraza de 6 m2, cocina equipada y amueblada y 1 cuarto de baño completo.
Calefacción individual de Gas Natural.
Dispone de armarios empotrados y suelos de tarima.
La vivienda es exterior y se entrega sin amuebla
"
"
Piso en avenida de Burgos, Castilla, Madrid
",3.600€/mes,171 m²,Planta 1ª exterior con ascensor,3 hab.,"
Espectacular Piso en Nueva España, Chamartin.
Engel & Völkers les presenta este espectacular piso en una urbanización cerrada de nueva construccion. El piso está construido con los mejores y más eficientes materiales. Cuenta con un amplio salón comedor de 50 m2 y una amplia terraza de 20 m2 que mues
"
"
Piso en calle de José Ortega y Gasset, Lista, Madrid
",3.200€/mes,111 m²,Planta 6ª exterior con ascensor,3 hab.,"
Presentamos este precioso piso reformado en el Distrito de Salamanca,
Disponible a partir del 3 de diciembre.
Ubicado en un inmueble señorial y con la presencia de un portero físico, se encuentra en una calle animada de comercios, cafes y restaurantes.
En un espacio abierto nos encontramos con un
"
