Direction,Price,m2,Floor,Room,Description
"
Piso en Nueva España, Madrid
",2.500€/mes,180 m²,Planta 1ª exterior con ascensor,4 hab.,"
Promora Madrid alquila piso en Chamartín-Nueva España, de tres dormitorios más uno de servicio y dos baños.
Zona muy tranquila y residencial rodeada de colegios y jardines, muy bien comunicada con accesos directos a la M-30 en ambas direcciones y salidas a las principales arterias de la ciudad: Pas
"
"
Piso en Niño Jesús, Madrid
",8.000€/mes,324 m²,Planta 4ª exterior con ascensor,4 hab.,"
Estate One ofrece fantástico piso reformado, con maravillosas vistas al parque del Retiro. Salón con chimenea y zona de comedor en dos ambientes con salida a terraza, y grandes ventanales al parque. La terraza tiene una parte cuadrada muy amplia como para poner zona de estar, y otra parte alargada,
"
"
Piso en Goya, Madrid
",1.520€/mes,90 m²,Planta 2ª exterior con ascensor,2 hab.,"
MARIO INMOBILIARIA OFRECE INMUEBLE
PARA CONCERTAR UNA VISITA LLAMAR A MARIO
Se alquila estupenda vivienda, IDEAL PARA COMPARTIR O PARA PAREJAS, situada muy próxima a la plaza de Manuel Becerra y bien comunicada con la red de transporte tanto en metro como en autobús.
El inmueble dispone de un lum
"
"
Piso en santiago de compostela, 30, La Paz, Madrid
",1.550€/mes,150 m²,Planta 12ª exterior con ascensor,4 hab.,"
Luminoso piso totalmente reformado, amueblado en Santiago de Compostela, zona muy reclamada por su ubicación, zonas arboladas, servicios y comunicacion a toda la ciudad.
El piso cuenta con una preciosa cocina con los mejores electrodomésticos y zona de almacenaje y lavado, abierta a un bonito salón
"
"
Piso en calle de Donoso Cortés, Gaztambide, Madrid
",3.000€/mes,130 m²,Planta 5ª interior con ascensor,5 hab.,"
OPORTUNIDAD ESTUDIANTES Y JÓVENES PROFESIONALES! DISPONIBLE EN NOVIEMBRE!
My Home Eficiente ofrece piso RECIÉN REFORMADO! .
Amplio y tranquilo piso ubicado a escasos minutos de la fundación Jiménez Díaz y el hospital clínico San Carlos.
5 dormitorios uno con entrada independiente, equipados con
"
"
Piso en calle Joaquín Bau, Nueva España, Madrid
",3.150€/mes,258 m²,Planta 7ª exterior con ascensor,4 hab.,"
Precioso piso séptima planta súper luminoso con dos terrazas con orientación Este y Oeste, plaza de garaje y trastero incluidos en el precio.
Se trata de una vivienda muy agradable y luminosa, que acaba de ser reformada parcialmente y se encuentra en perfecto estado. Cuenta con una amplía zona de r
"
"
Ático en Santa Engracia, Trafalgar, Madrid
",1.700€/mes,40 m²,Planta 7ª exterior con ascensor,1 hab.,"
PRECIOSO ÁTICO DE 49 METROS DE VIVIENDA ( 40 +9 comunes según catastro) Y 38 METROS DE TERRAZA.
COMPLETAMENTE REFORMADO. A
ESTRENAR. ESPECTACULARES VISTAS DE MADRID. EN SANTA ENGRACIA ESQUINA EDUARDO DATO.
Trastero individual en el sótano del edificio.
DISPONIBLE ENTRAR YA¡
VISITAS: LORETO SEO
"
"
Ático en calle del Conde de Peñalver, Goya, Madrid
",1.950€/mes,74 m²,Planta 6ª exterior con ascensor,2 hab.,"
Ático muy luminoso con amplia terraza en la zona de Goya. La vivienda cuenta con dos dormitorios y dos baños, uno de los dormitorios es en suite, cocina independiente, salón comedor con acceso a una amplia terraza con orientación Oeste, y con una zona de barra. Plaza de garaje opcional.
Solo para la
"
"
Piso en calle Francisco Lizcano, 20, Buena Vista, Madrid
",880€/mes,77 m²,Planta 1ª exterior con ascensor,2 hab.,"
SOLO PARTICULARES
Piso + 2 plazas de garaje + Trastero. Mejor que nuevo, tranquilo y luminoso, en zona de chalés, parques y zonas verdes.
Tocando con el ""Pau de Carabanchel"", en urbanización privada, con sala de uso comunitario, zonas verdes y área de juego infantil.
Totalmente exterior, tiene
"
"
Piso en calle de Alonso Cano, Nuevos Ministerios-Ríos Rosas, Madrid
",1.100€/mes,60 m²,Planta 5ª exterior sin ascensor,2 hab.,"
ALQUILOFÁCIL MONCLOA alquila piso en Madrid.
DISPONIBILIDAD INMEDIATA.
Piso con amplio salón muy luminoso y dos habitaciones amuebladas con cama y armarios. La cocina está completamente equipada con nevera, horno, espacio para almacenamiento, etc. Un baño completo con plato de ducha y lavabo.
U
"
