Tamano de la vivienda;Periodo;Total
(120-150];2015;100.5
(120-150];2016;102.954
(120-150];2017;104.709
(120-150];2018;107.812004
(120-150];2019;111.47
(120-150];2020;109.023994
(120-150];2021;111.086
(60-75];2015;100.1
(60-75];2016;103.772
(60-75];2017;105.325
(60-75];2018;109.082
(60-75];2019;114.863
(60-75];2020;112.490005
(60-75];2021;114.414
(75-90];2015;100.3
(75-90];2016;103.432
(75-90];2017;105.352005
(75-90];2018;109.043
(75-90];2019;114.236
(75-90];2020;111.92899
(75-90];2021;113.779
(90-120];2015;100.5
(90-120];2016;103.217995
(90-120];2017;104.871
(90-120];2018;108.394
(90-120];2019;113.517
(90-120];2020;111.068
(90-120];2021;112.954994
<=60;2015;100.5
<=60;2016;104.022
<=60;2017;106.651
<=60;2018;110.933
<=60;2019;117.698006
<=60;2020;114.417
<=60;2021;114.608
>150;2015;101.1
>150;2016;102.185
>150;2017;104.657005
>150;2018;106.733
>150;2019;109.319
>150;2020;107.119
>150;2021;109.646996
Total;2015;100.4
Total;2016;103.555
Total;2017;105.553
Total;2018;109.185
Total;2019;114.717
Total;2020;112.033
Total;2021;113.539
