Total Nacional;Comunidades y Ciudades Autónomas;Antigüedad del contrato de arrendamiento;Tipo de dato;Periodo;Total
Total Nacional;;Total;Índice;2021;112,694
Total Nacional;;Total;Variación anual;2021;1,6
Total Nacional;;Nuevo contrato;Índice;2021;114,871
Total Nacional;;Nuevo contrato;Variación anual;2021;3,5
Total Nacional;;Contrato existente;Índice;2021;112,229
Total Nacional;;Contrato existente;Variación anual;2021;1,2
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2021;112,539
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2021;1,0
Total Nacional;13 Madrid, Comunidad de;Nuevo contrato;Índice;2021;113,661
Total Nacional;13 Madrid, Comunidad de;Nuevo contrato;Variación anual;2021;2,0
Total Nacional;13 Madrid, Comunidad de;Contrato existente;Índice;2021;112,298
Total Nacional;13 Madrid, Comunidad de;Contrato existente;Variación anual;2021;0,8
