,Direction,Price,m2,Floor,Room,Description
0," Piso en Goya, Madrid ",1500.0,91.0,2,2," MARIO INMOBILIARIA OFRECE INMUEBLE PARA CONCERTAR UNA VISITA LLAMAR A MARIO Se alquila estupenda vivienda, IDEAL PARA COMPARTIR O PARA PAREJAS, situada muy próxima a la plaza de Manuel Becerra y bien comunicada con la red de transporte tanto en metro como en autobús. El inmueble dispone de un lum "
1," Piso en calle de Belice, Salvador, Madrid ",1150.0,78.0,0,2," -ZONA SALVADOR- Piso reformado de 78m² construidos y 67m² útiles, exterior, sin amueblar y para entrar a vivir. La vivienda consta de salón, dos dormitorios, un cuarto de baño y cocina independiente, amueblada y equipada con electrodomésticos. Puerta blindada, suelos de tarima y pintura gotelé. Cale "
2," Piso en calle Beasain, 31, Orcasitas, Madrid ",790.0,68.0,3,1," Piso de 1 dormitorio +TRASTERO + GARAJE con todas las estancias totalmente independientes. Aunque es de un dormitorio, todas las estancias son muy amplias. Salón de 21 m2. Se alquila sin muebles excepto la cocina que está equipada (incluye lavavajillas). Aire acondicionado por conductos en todas las "
3," Piso en calle de Oña, Virgen del Cortijo - Manoteras, Madrid ",1000.0,40.0,0,1," - SANCHINARRO-Vivienda de 39 m² útiles, exterior, nuevo, amueblado y listo para entrar a vivir. La vivienda consta de Salón, un dormitorio y un cuarto de baño completo con plato de ducha. Cocina americana amueblada y equipada con lavadora, frigorífico, vitrocerámica y campana. Pintura Lisa y Suelos "
4," Piso en batalla del Salado, 44, Delicias, Madrid ",1400.0,71.0,2,1," Alquilo apartamento grande de una habitación, baño y salón grande en el centro de Madrid a 5 minutos de delicias y a 15 minutos de atocha andando. "
5," Piso en Vallehermoso, Madrid ",1500.0,55.0,4,2," Piso acogedor en calle Bravo Murillo. Vivienda interior pero luminosa y tranquila, ideal para una pareja o compartir. Se trata de un piso en muy buen estado, reformado con altas calidades y amueblado. Al entrar en la propiedad, se accede directamente a la zona de salón comedor, un espacio amplio c "
6," Piso en calle de Juan Bravo, 3, Castellana, Madrid ",2100.0,67.0,2,1," Apartamento de lujo completamente reformado y amueblado, con altísimas calidades. Esta ubicado en el Barrio de Salamanca, en plena Milla de oro, a escasos metros de la calle Serrano. Muy cerca de las Embajadas de Estados Unidos y de Italia, del IE Business School y de la sede de grandes empresas y d "
7," Piso en paseo de la Dirección, 161, Valdeacederas, Madrid ",2820.0,146.0,19,3," Para más viviendas como está, visita nuestra pagina web bepremiumrealestate.net (enlace al final de este anuncio). BE Premium Real Estate ofrece en alquiler apartamento con TERRAZA en las emblemáticas torres del Skyline de Madrid, un modelo arquitectónico elegante y de atractivo diseño. La viviend "
8," Piso en calle de la Pintora Ángeles Santos, 12, San Diego, Madrid ",980.0,74.0,2,1," Rogel Propiedades alquila piso ubicado en zona con todos los servicios, bares, restaurantes, tiendas, supermercados, farmacias, etc SE HACE SEGURO DE IMPAGO ( se necesita nominas) Cocina amueblada y equipada con electrodomésticos. De 74 m2 distribuidos en amplio y luminosos salón comedor, cocina, "
9," Piso en paseo de la Dirección, 161, Valdeacederas, Madrid ",2940.0,146.0,21,3," !! VISTAS UNICAS EN LO MAS ALTO DE MADRID !!   Para más viviendas como está, visita nuestra pagina web bepremiumrealestate.net (enlace al final de este anuncio). BE Premium Real Estate ofrece en alquiler apartamento con TERRAZA en las emblemáticas torres del Skyline de Madrid, un modelo arquitectónico elegante y de atractivo diseño. La viviend "
10," Piso en calle de Elfo, 2, Concepción, Madrid ",1050.0,60.0,3,1," Apartamento totalmente amueblado para entrar a vivir, muy cerca del metro. Aire acondicionado. Plaza de garaje de acceso directo. "
11," Piso en paseo de la Dirección, 161, Valdeacederas, Madrid ",2700.0,146.0,17,3," Para más viviendas como está, visita nuestra pagina web bepremiumrealestate.net (enlace al final de este anuncio). BE Premium Real Estate ofrece en alquiler apartamento con TERRAZA en las emblemáticas torres del Skyline de Madrid, un modelo arquitectónico elegante y de atractivo diseño. La viviend "
12," Piso en Recoletos, Madrid ",2300.0,132.0,1,3," ""JCB ASESORES alquila piso DE LUJO SIN AMUEBLAR EN URBANIZACION PRIVADA con piscina. El inmueble esta ubicado en un edificio de lujo con servicio de vigilancia 24 horas y piscina. La vivienda consta de 3 dormitorios, 2 baños completos (1 en suite), cocina con terraza tendedero, salon comedor y hal "
13," Piso en Prosperidad, Madrid ",2400.0,110.0,6,3," Luminoso piso en Clara del Rey Engel & Völkers presenta luminoso piso ubicado en la calle Clara del Rey. Una sexta planta muy amplia. La propiedad se encuentra completamente amueblada. Cuenta con tres habitaciones, dos con cama doble y una con espacio para cama individual. Armarios empotrados y dos "
14," Piso en calle domingo fernandez, 5, Nueva España, Madrid ",1300.0,52.0,3,1,
15," Piso en calle de Fernández de la Hoz, Almagro, Madrid ",2400.0,172.0,4,4," ¡Increíble piso en alquiler en la codiciada Calle Fernández de la Hoz, en Madrid! Este hermoso piso cuenta con todo lo que necesitas para vivir cómodamente en la vibrante ciudad de Madrid. Con una ubicación inmejorable y un entorno tranquilo, esta vivienda es perfecta para aquellos que buscan un lu "
16," Piso en calle de Edgar Neville, 12, Cuatro Caminos, Madrid ",1500.0,65.0,7,1," PARA VISITAR ESCRIBEME POR WHATSAPP 6 8 7 3 8 8 8 6 6 Paola Fernandez. Completamente a estrenar! piso muy luminoso, orientación SUR-ESTE de 65 metros cuadrados. Electrodomésticos completamente NUEVOS! Todo ALTA GAMA! (Horno, vitro, frigorífico, campana extractora, lavavajillas, lavadora. vista a l "
17," Piso en Valdemarín, Madrid ",2800.0,187.0,0,4," Extrena21 ofrece este magnifico bajo con jardín en alquiler en urbanización con piscina y pista de Paddle en una de las mejores zonas de Valdemarin, con la siguiente distribución: - Hall de entrada con acceso a Salón - Salón con acceso a porche cubierto y jardín privativo solado de 150m2 - Dormitor "
18," Piso en calle de Martínez Izquierdo, Guindalera, Madrid ",2300.0,125.0,0,3," Domus Aurea Capital presenta este Ático dúplex con 2 terraza y 3 habitaciones en Guindalera. Ático dúplex sin amueblar de 3 habitaciones con gran luminosidad. Cuenta con una superficie construida de 125 m² construidos, ubicada en una finca familiar muy tranquila. En la primera planta de la vivien "
19," Piso en paseo del General Martínez Campos, Almagro, Madrid ",3100.0,178.0,8,2," Oportunidad de vivir en una de las mejores calles del barrio de Chamberí en un ático con 67 m2 de terraza con orientación Norte. El inmueble se alquila SIN MUEBLES. La vivienda cuenta con un hall de entrada que da paso al baño de cortesía, que a su vez, esta en suite con la habitación principal. A "
20," Piso en calle de Galileo, 38, Arapiles, Madrid ",1600.0,50.0,2,2," Estupendo apartamento en la calle Galilio, corazon del barrio de Chamberi. La casa esta totalmente reformada, con dos dormitorios y un baño. Tiene carpinterias exterior de rotura de puente termico, carpinterias interiores en madera lacada en blanco, cocina con todos los electrodomesticos. La casa es "
21," Piso en Fuente del Berro, Madrid ",2300.0,110.0,0,2," EXCELENTE PISO DE OBRA NUEVA CON PATIO Engel & Völkers presenta este piso de obra nueva y de última generación. Equipado con la tecnología más moderna tanto en el consumo de energía (tiene calificación “A”, la más eficiente), como en el equipamiento en general. Es un bajo con un gran patio de uso p "
22," Piso en Uruguay, 17, Bernabéu-Hispanoamérica, Madrid ",1550.0,80.0,7,2," Luminoso piso en una séptima planta, recientemente reformado, con dos dormitorios, un baño, cocina independiente y amplio salón. La vivienda ha sido reformada en su totalidad, con pintura lisa, focos de led en todas las estancias, tarima, carpintería de madera en blanco. Todo el piso es exterior con "
23," Piso en calle de O'Donnell, Goya, Madrid ",8250.0,350.0,5,4," Piso en alquiler en la calle O'Donnell. PISO REFORMADO CON VISTAS AL RETIRO EN GOYA. En pleno corazón del madrileño barrio de Salamanca, una de las zonas más demandadas de la capital, encontramos esta vivienda con una reforma a estrenar por un estudio de interiorismo. Nada más entrar, nos recibe u "
24," Ático en calle de Martínez Izquierdo, 21, Guindalera, Madrid ",1130.0,50.0,2,1, Ático con terraza orientada a sur a estrenar completamente amueblado en chalet histórico. Entrada totalmente Independiente. Ideal parejas. No se admiten más de dos personas. Contrato mínimo un año. Está situado en calle tranquila a escasos metros de Calle Cartagena y cerca del Metro Diego de León. B 
25," Piso en calle San Martín de Porres, Ciudad Universitaria, Madrid ",3700.0,342.0,5,5," Piso en la calle San Martin de Porres. PISO CON CINCO HABITACIONES Y CUATRO BAÑOS RECIÉN REFORMADO EN PUERTA DE HIERRO. En la lujosa zona de Puerta de Hierro encontramos este piso de 342 m² construidos y 253 m² útiles dentro de una urbanización con piscina, gimnasio, sauna, garaje y trastero. Desd "
26," Piso en calle del hierro, 17, Delicias, Madrid ",1200.0,73.0,1,1," Precioso piso de un dormitorio, en perfecto estado y listo para entrar a vivir. Se alquila sin amueblar, únicamente con los electrodomésticos de la cocina. Dispone de calefacción individual por gas natural y aire acondicionado/bomba de calor en toda la casa por conductos, 2 armarios empotrados de gr "
27," Piso en calle de San Bernardo, Malasaña-Universidad, Madrid ",3600.0,85.0,3,2," Piso en alquiler en calle San Bernardo. PISO A ESTRENAR EN MALASAÑA. ACEPTA CONTRATO TEMPORAL CON SUMINISTROS, WIFI Y LIMPIEZA SEMANAL INCLUIDOS. La vivienda se ubica en un edificio de nueva construcción. En la reforma se conservan todos los elementos propios de fachada, así como de interiores del "
28," Estudio en calle Sierra Bermeja, 30, Palomeras Bajas, Madrid ",700.0,,3,0, Disponible a partir de mediados de diciembre. Estupendo estudio (con cocina a parte) de 40m2 además de trastero de 3m2. Cada rincón está pensado para ser un espacio multifuncional y que le des tu propio estilo. (ABSTENERSE AGENCIAS) _A 5 minutos del metro de Portazgo. _Tiene mucha luz natural (las 
29," Piso en calle de San Bernardo, Malasaña-Universidad, Madrid ",3600.0,90.0,3,2," Piso en alquiler en calle San Bernardo. PISO A ESTRENAR EN MALASAÑA. ACEPTA CONTRATO TEMPORAL CON SUMINISTROS, WIFI Y LIMPIEZA SEMANAL INCLUIDOS. La vivienda se ubica en un edificio de nueva construcción. En la reforma se conservan todos los elementos propios de fachada, así como de interiores del "
