Total Nacional;Comunidades y Ciudades Autónomas;Tipo de edificación;Tipo de dato;Periodo;Total
Total Nacional;;Total;Índice;2021;112,694
Total Nacional;;Total;Índice;2020;110,942
Total Nacional;;Total;Índice;2019;109,999
Total Nacional;;Total;Índice;2018;106,247
Total Nacional;;Total;Índice;2017;103,528
Total Nacional;;Total;Índice;2016;101,681
Total Nacional;;Total;Índice;2015;100,000
Total Nacional;;Total;Variación anual;2021;1,6
Total Nacional;;Total;Variación anual;2020;0,9
Total Nacional;;Total;Variación anual;2019;3,5
Total Nacional;;Total;Variación anual;2018;2,6
Total Nacional;;Total;Variación anual;2017;1,8
Total Nacional;;Total;Variación anual;2016;1,7
Total Nacional;;Total;Variación anual;2015;0,3
Total Nacional;;Vivienda unifamiliar;Índice;2021;109,513
Total Nacional;;Vivienda unifamiliar;Índice;2020;107,422
Total Nacional;;Vivienda unifamiliar;Índice;2019;106,790
Total Nacional;;Vivienda unifamiliar;Índice;2018;105,205
Total Nacional;;Vivienda unifamiliar;Índice;2017;103,327
Total Nacional;;Vivienda unifamiliar;Índice;2016;101,744
Total Nacional;;Vivienda unifamiliar;Índice;2015;100,000
Total Nacional;;Vivienda unifamiliar;Variación anual;2021;1,9
Total Nacional;;Vivienda unifamiliar;Variación anual;2020;0,6
Total Nacional;;Vivienda unifamiliar;Variación anual;2019;1,5
Total Nacional;;Vivienda unifamiliar;Variación anual;2018;1,8
Total Nacional;;Vivienda unifamiliar;Variación anual;2017;1,6
Total Nacional;;Vivienda unifamiliar;Variación anual;2016;1,7
Total Nacional;;Vivienda unifamiliar;Variación anual;2015;0,6
Total Nacional;;Vivienda colectiva;Índice;2021;113,088
Total Nacional;;Vivienda colectiva;Índice;2020;111,382
Total Nacional;;Vivienda colectiva;Índice;2019;110,400
Total Nacional;;Vivienda colectiva;Índice;2018;106,378
Total Nacional;;Vivienda colectiva;Índice;2017;103,553
Total Nacional;;Vivienda colectiva;Índice;2016;101,673
Total Nacional;;Vivienda colectiva;Índice;2015;100,000
Total Nacional;;Vivienda colectiva;Variación anual;2021;1,5
Total Nacional;;Vivienda colectiva;Variación anual;2020;0,9
Total Nacional;;Vivienda colectiva;Variación anual;2019;3,8
Total Nacional;;Vivienda colectiva;Variación anual;2018;2,7
Total Nacional;;Vivienda colectiva;Variación anual;2017;1,8
Total Nacional;;Vivienda colectiva;Variación anual;2016;1,7
Total Nacional;;Vivienda colectiva;Variación anual;2015;0,2
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2021;112,539
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2020;111,433
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2019;110,717
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2018;106,485
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2017;103,653
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2016;101,755
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2015;100,000
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2021;1,0
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2020;0,6
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2019;4,0
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2018;2,7
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2017;1,9
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2016;1,8
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2015;0,4
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2021;109,206
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2020;107,279
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2019;106,716
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2018;104,718
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2017;102,999
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2016;101,305
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2015;100,000
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Variación anual;2021;1,8
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Variación anual;2020;0,5
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Variación anual;2019;1,9
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Variación anual;2018;1,7
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Variación anual;2017;1,7
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Variación anual;2016;1,3
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Variación anual;2015;0,8
Total Nacional;13 Madrid, Comunidad de;Vivienda colectiva;Índice;2021;112,774
Total Nacional;13 Madrid, Comunidad de;Vivienda colectiva;Índice;2020;111,724
Total Nacional;13 Madrid, Comunidad de;Vivienda colectiva;Índice;2019;110,998
Total Nacional;13 Madrid, Comunidad de;Vivienda colectiva;Índice;2018;106,612
Total Nacional;13 Madrid, Comunidad de;Vivienda colectiva;Índice;2017;103,701
Total Nacional;13 Madrid, Comunidad de;Vivienda colectiva;Índice;2016;101,787
Total Nacional;13 Madrid, Comunidad de;Vivienda colectiva;Índice;2015;100,000
Total Nacional;13 Madrid, Comunidad de;Vivienda colectiva;Variación anual;2021;0,9
Total Nacional;13 Madrid, Comunidad de;Vivienda colectiva;Variación anual;2020;0,7
Total Nacional;13 Madrid, Comunidad de;Vivienda colectiva;Variación anual;2019;4,1
Total Nacional;13 Madrid, Comunidad de;Vivienda colectiva;Variación anual;2018;2,8
Total Nacional;13 Madrid, Comunidad de;Vivienda colectiva;Variación anual;2017;1,9
Total Nacional;13 Madrid, Comunidad de;Vivienda colectiva;Variación anual;2016;1,8
Total Nacional;13 Madrid, Comunidad de;Vivienda colectiva;Variación anual;2015;0,4
